Anatomy and Physiology,Astronomy,Boomilever,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detective,Dynamic Planet,Experimental Design,Fermi Questions,Forensics,Fossils,Geologic Mapping,Herpetology,Mission Possible,Mousetrap Vehicle,Protein Modeling,Sounds of Music,Thermodynamics,Water Quality,Wright Stuff,Write It Do It,Science Quiz Bowl,Science Word
119.5,69.5,1083.82,122,58.5,3574,100,91,131.5,106.1,125,89.5,88,89,200,1086.5,25.61,43.9,91.56,92.67,60.5,154.802,53,120164,26
118,61.5,1073.08,113,56.4,2525,98.5,79.5,117.5,106,118,83,78,75.51,172.5,1068.5,34.29,42.7,91.36,77.79,56,120.037,51.1,110177,22
102,57.5,1053.78,91,56.3,2174,97,71.5,110,105,114.1,81,67,75.5,172,1049,38.77,42.1,90.98,73.27,51.5,104.719,51,110161,20
101.5,56.5,864.97,82,53.5,2162,94.5,63,108.5,103.1,114,79,65,71.5,170.5,992.5,39.15,41.35,89.76,71.82,50.5,100.188,50,70165,19
100,55.5,824.01,77,53.1,1875,93.5,61.5,104.5,103,112,77.5,62,66.51,153.5,963.2,39.55,40.35,89.05,71.59,48.5,99.763,49.1,40155,18.07
99,53.5,666.93,66,52.9,1624,80.5,60,103,102.3,106.1,74.5,59.5,66.5,138.5,926,46.86,38.6,88.17,69.89,47.51,87.941,49,20154,18.05
97,53,597.62,61,52.5,1559,77,59.2,102.5,102.2,106,73.5,57.5,64.5,138,889,49.37,38.3,88.08,66.8,47.5,80.063,48.1,146,17
95.1,51,575.35,57,46,1346,74.1,59.1,102,102.1,103,73,56.1,64,134.5,835,49.76,35.15,83.84,66.77,46,78.085,48,140,16.0778
95,50.5,540.5,55,45.5,1342,74,59,100,102,101,63,56,62,129,806.5,65.97,35.05,83.53,65.03,45.52,76.487,47.2,137,16.0772
91,50,531.07,50,44.5,1306,71.5,56,81,101.1,100.2,61.6,55.5,60,121.5,780.2,66,34.95,83.06,64.65,45.51,62.656,47.1,136,16.06
90.5,47.5,526.43,48.1,43.5,1224,71,55,77.51,101,100.1,61.5,52,59,115,778.3,77.43,34.75,81.24,64.3,45.5,51.992,47,132,16.05
88.5,47,501.04,48,43.01,1175,70,54,77.5,99.1,100,53.5,45.1,58,110.5,773.8,86.22,33,80.29,64.22,45.01,47.116,46,115,16.04
84.5,45,449.55,43,43,1174,69.5,53.1,77,99,99.1,53,45,57.5,109.5,751,90,32.65,79.58,63.7,45,39.294,45,114.1,15.08
84,43,437.62,42,40.5,1150,64.5,53,72,98,99,52.1,43.1,54.51,107.5,691.3,100.44,31.9,78.52,62.68,44.01,39.204,44.1,114,15.07
80.1,40,412.18,40,40,1146,64,52.5,71.5,97,98,52,43,54.5,106,677.3,109.94,31.8,76.45,62.59,44,34.293,44,109,15.0576
80,39,403.2,35.1,38.5,1142,63,52,69.5,94.2,95,49.5,39,52.5,105.5,600.9,131.97,31.7,72.7,62.54,43.5,33.96,43.3,104,15.057
79.1,38.01,357.36,35,38,1122,61.5,51.7,67,94.1,93.1,49,35.1,51,105,600,139.2,31.65,71.2,60.15,42.5,26.876,43.2,98,15.03
79,38,278.67,34.1,37.5,1050,58,51.6,66.5,94,93,48.5,35,50.51,101,583.3,142.92,31.2,71.14,59.54,41.5,17.066,43.1,93,14
76.2,37.5,274.21,34,36.5,925,57.5,51.5,66,93,90,48,34,50.5,98.5,524.3,158.35,30.9,67.22,59.45,40.5,16.928,43,92,13.09
76.1,35,268.49,30.1,36.01,900,57.1,49.1,64,89,87.1,46,33.5,50,97,514.2,163.52,30.85,67.07,59.35,40,9.557,41,89,13.05
76,34.5,264.78,30,36,850,57,49,60.5,88,87,45,33,48,96.1,477.2,183.95,30.8,66.42,58.71,39,8.579,40.1,88,12.04
75,34.01,232.69,29.2,35,716,55,47,54,87,86.1,44.5,32.5,45.5,96,466.1,189.15,30.35,66.02,57.09,37,7.833,40,86,12.03
74,34,207.33,29.1,34.5,662,54.5,46.5,53.5,86.1,86,41.1,32.1,43,95.1,426.6,213.07,29.75,64.53,55.47,36.5,7.832,39.1,84.1,11
69.5,33.5,160.55,29,31.9,640,53.51,45,52,86,85.1,41,32,42.01,95,422.3,216.46,29.4,61.18,54.88,34.75,6.688,39,84,10.05
67.5,33,118.06,28.1,31.5,600,53.5,44,51.1,85,85,39,31.5,42,91,420.5,234.53,28.5,60.35,54.72,34.51,6.601,38,83,10.04
66.1,31.5,36.53,28,31,550,52.5,42,51,83.1,84,38,31,41.5,84,417,268,28.4,59.71,53.87,34.5,6.429,37.2,82,10.03
66,30.5,362.84,26.1,30.5,525,50,40.5,49.5,83,83.1,37,29.6,41.01,76.1,405.2,291.23,28.25,57.09,53.49,33,5.371,37.1,80,9.0488
65,30,338.75,26,30,454,47.5,39.5,49,82,83,34,29.5,41,76,404.2,310.61,28.15,56.8,52.56,32.01,5.282,37,79,9.0479
64,29.5,292.44,25,28.51,450.1,47,38.5,47,80,80.1,33.5,28.5,40.5,75,383.1,355.54,28.1,56.37,52.05,32,5.244,36.2,78,9.02
61.5,29,276.63,24.1,28.5,450,46.5,38,45,78.1,80,32.5,27.5,40.01,74.5,369.5,359.12,27.8,56.16,51.51,31.5,5.01,36.1,70,7
59.5,28,244.06,24,27,400.1,46,37,44.1,78,78,30,27,40,72.5,366.3,549.3,27.7,54.1,51.13,30.51,4.761,36,61.1,6.0287
58.6,27,127.23,22,26.85,400,45,33,44,75,75,29.5,26.5,38.52,70,329.5,582.31,26.5,52.05,50.13,30.5,4.313,35.1,61,6.0284
58.5,26.5,106.38,21,26.75,300.2,44.5,31.1,43.5,73,72.1,29,26.1,38.51,66.5,316.5,687.41,26.25,46.5,48.49,30.01,3.83,35,60,5.0186
52,26,97.12,20,26.5,300.1,39.5,31,42.5,69,72,22.5,26,38.5,60.5,309.1,762.03,25,45.66,47.89,30,3.197,34,58,5.0172
48.5,25.51,78.99,17,25.01,300,39,30.5,42.2,63,71,22,24,38,58.6,285.2,921.68,24.3,45.16,45.67,28.5,2.951,33,55,4
47,25.5,49.61,16.1,24.5,225,38.5,30.1,42.1,61,69,21,20.1,36.5,58.5,243,1127.78,24.1,43.17,43,28,2.909,32.1,48,3
45.5,24,408.03,16,23.01,150.6,38,30,42,59,67,19.5,20,35.5,58,206.4,1456.3,23.85,41.84,41.98,26.51,2.82,32,42.1,2
45,22.51,105.18,15.1,23,150.55,37.1,29.6,31.5,58,63.1,19,19.5,34.5,57.5,179.2,1555.6,22.6,40.05,41.58,26.5,2.634,31.2,42,NS
40,22.5,39.81,15,22,150.5,37,29.5,31,57.1,63,13,18.6,34,57,119.5,1617.95,22.2,38.62,39.31,24.5,2.507,31.1,41,NS
39.5,21.5,0,14,20.9,150.4,35,28,30,57,62,11.5,18.5,33.5,56,-32.3,1848.61,20.7,37.04,36.35,24.02,2.496,31,NS,NS
38,21.01,-1,10,18.5,150.3,34.5,27,29,51,61.1,10,17,33,50.1,NS,1991.96,19.1,36.67,35.89,24.01,2.116,30,NS,NS
36.6,21,-2,9.1,18,150.1,34,26,28.5,50,61,8,14,32,50,NS,2200.52,17.1,35.15,35.66,24,1.265,29,NS,NS
36.5,20,-3,9,14.5,150.05,33.1,25,27.5,48,54,5.5,12,29,46.5,NS,2549.1,15.3,29.03,34.43,23,1.177,28,NS,NS
34.5,19.5,-4,8,13.5,150.01,33,23,21,46,47,5.1,10.1,28.5,43.5,NS,2680.42,13.8,27.99,32.87,19,0.955,25.1,NS,NS
31,-5,5,10.5,150,28,18.5,20,45,46.1,5,10,27.5,43,NS,2742.15,8,21.28,32.8,18,0,25,NS,NS
23.1,18.01,NS,2,9,100.5,25,17.5,19,31,46,3,NS,25.5,42.5,NS,P,5.6,21.27,28.82,17.51,NS,23.1,NS,NS
23,18,NS,1,5.5,100.15,23,15,17,NS,42,2,NS,21.5,31,NS,NS,NS,17.88,27.22,17.5,NS,23,NS,NS
15,17.5,NS,NS,NS,100,16.5,NS,10.1,NS,24,-14,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,15,NS,NS
NS,NS,NS,NS,NS,0,82.5,NS,10,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,10,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
NS,DQ,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,DQ,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS